motor_front,motor_back,pitch_filter,pitch_raw
271, 729, 7.651481, 7.469603
273, 727, 7.588875, 7.653194
274, 726, 7.533457, 7.882189
276, 724, 7.487731, 8.187543
277, 723, 7.448546, 8.196068
278, 722, 7.414633, 8.102380
279, 721, 7.376453, 7.836751
281, 719, 7.322574, 7.492515
282, 718, 7.268106, 7.054451
284, 716, 7.202150, 6.500371
286, 714, 7.141912, 6.496195
288, 712, 7.084809, 6.613041
290, 710, 7.031015, 6.829016
291, 709, 6.978552, 7.109418
293, 707, 6.930182, 7.645144
294, 706, 6.878545, 7.724521
296, 704, 6.817150, 7.736746
298, 702, 6.749250, 7.699888
300, 700, 6.670878, 7.478041
303, 697, 6.569451, 6.554376
307, 693, 6.460384, 6.038391
310, 690, 6.350377, 5.638301
314, 686, 6.232589, 5.338389
317, 683, 6.119362, 5.217669
320, 680, 6.015153, 5.543287
323, 677, 5.918182, 5.830009
326, 674, 5.830321, 5.939113
328, 672, 5.742119, 5.923903
331, 669, 5.656479, 5.944840
333, 667, 5.584456, 6.463827
335, 665, 5.520715, 6.631878
337, 663, 5.460448, 6.488023
339, 661, 5.399396, 5.960559
341, 659, 5.333233, 5.290829
343, 657, 5.260602, 4.740933
344, 656, 5.204209, 5.135591
346, 654, 5.165975, 5.762923
346, 654, 5.139731, 6.334152
347, 653, 5.114814, 6.595444
348, 652, 5.084535, 6.428233
350, 650, 5.027450, 5.323700
352, 648, 4.961481, 4.741914
354, 646, 4.885015, 4.239182
356, 644, 4.804009, 4.036704
359, 641, 4.726470, 4.320041
361, 639, 4.650662, 4.517417
363, 637, 4.583957, 4.771391
365, 635, 4.518985, 4.845886
367, 633, 4.452780, 4.691326
369, 631, 4.379288, 4.202397
372, 628, 4.299815, 3.723628
374, 626, 4.216267, 3.401778
376, 624, 4.134672, 3.242112
379, 621, 4.050442, 3.149792
382, 618, 3.966113, 3.331778
384, 616, 3.888718, 3.914707
386, 614, 3.812711, 4.375891
388, 612, 3.738441, 4.700014
391, 609, 3.663707, 4.902634
393, 607, 3.581805, 5.137857
396, 604, 3.490487, 4.869139
399, 601, 3.395455, 4.547687
402, 598, 3.290951, 3.972658
405, 595, 3.184160, 3.465618
408, 592, 3.076674, 2.862966
412, 588, 2.964273, 2.144883
415, 585, 2.859340, 1.856716
417, 583, 2.767537, 1.970614
420, 580, 2.682062, 2.000205
422, 578, 2.614995, 2.256970
424, 576, 2.564675, 2.716431
425, 575, 2.518145, 2.979371
426, 574, 2.480571, 3.051869
427, 573, 2.441259, 3.318070
429, 571, 2.398894, 3.228514
430, 570, 2.350304, 3.081053
432, 568, 2.294391, 2.888856
433, 567, 2.243922, 2.632534
435, 565, 2.181634, 2.199020
437, 563, 2.113017, 2.095149
439, 561, 2.056135, 2.023540
441, 559, 1.996823, 1.958933
442, 558, 1.936955, 1.830160
444, 556, 1.875168, 1.720109
446, 554, 1.810101, 1.451199
448, 552, 1.743474, 1.211977
450, 550, 1.668906, 0.897833
453, 547, 1.598547, 0.583478
455, 545, 1.521352, 0.465652
457, 543, 1.445398, 0.583576
459, 541, 1.370766, 0.549034
462, 538, 1.285173, 1.055109
464, 536, 1.219679, 1.649977
466, 534, 1.143966, 1.676039
469, 531, 1.065665, 1.889716
471, 529, 0.994882, 1.999667
473, 527, 0.915460, 1.783281
476, 524, 0.826744, 1.878188
478, 522, 0.737188, 1.643247
481, 519, 0.642683, 1.438382
484, 516, 0.550228, 1.360493
487, 513, 0.451449, 1.179981
490, 510, 0.355275, 0.815928
493, 507, 0.261415, 0.355965
496, 504, 0.166230, -0.320471
498, 502, 0.071086, -0.790135
500, 500, -0.016856, -0.923565
503, 497, -0.101854, -1.136793
505, 495, -0.174244, -0.916096
507, 493, -0.236128, -0.631430
508, 492, -0.294237, -0.408955
510, 490, -0.352891, -0.309099
512, 488, -0.405773, -0.010060
514, 486, -0.467858, 0.068368
515, 485, -0.531857, 0.077087
517, 483, -0.596198, 0.099899
520, 480, -0.666951, -0.122117
522, 478, -0.740732, -0.353037
524, 476, -0.821312, -0.542479
527, 473, -0.906622, -0.525600
529, 471, -0.993772, -0.840427
532, 468, -1.074617, -0.988541
534, 466, -1.164615, -1.891456
537, 463, -1.256369, -2.234580
540, 460, -1.351722, -2.591428
