motor_front,motor_back,pitch_filter,pitch_desired
543, 457, -3.016684, -0.000000
544, 456, -3.063050, -0.000000
546, 454, -3.107904, -0.000000
545, 455, -3.147941, -0.000000
548, 452, -3.191594, -0.000000
550, 450, -3.235478, -0.000000
550, 450, -3.276880, -0.000000
554, 446, -3.323271, -0.000000
554, 446, -3.363476, -0.000000
557, 443, -3.406857, -0.000000
556, 444, -3.444312, -0.000000
560, 440, -3.496596, -0.000000
563, 437, -3.560325, -0.000000
565, 435, -3.630848, -0.000000
568, 432, -3.704062, -0.000000
569, 431, -3.778230, -0.000000
572, 428, -3.858523, -0.000000
574, 426, -3.952507, -0.000000
575, 425, -4.052294, -0.000000
574, 426, -4.152878, -0.000000
575, 425, -4.263755, -0.000000
575, 425, -4.370464, -0.000000
575, 425, -4.473864, -0.000000
571, 429, -4.558102, -0.000000
572, 428, -4.642632, -0.000000
567, 433, -4.707058, -0.000000
569, 431, -4.776034, -0.000000
564, 436, -4.828707, -0.000000
564, 436, -4.876653, -0.000000
560, 440, -4.907387, -0.000000
559, 441, -4.931977, -0.000000
557, 443, -4.951032, -0.000000
556, 444, -4.966011, -0.000000
556, 444, -4.983632, -0.000000
551, 449, -4.987758, -0.000000
552, 448, -4.994307, -0.000000
551, 449, -4.998182, -0.000000
549, 451, -4.997680, -0.000000
547, 453, -4.999352, -0.000000
549, 451, -5.009102, -0.000000
547, 453, -5.014350, -0.000000
548, 452, -5.024282, -0.000000
543, 457, -5.018480, -0.000000
546, 454, -5.014240, -0.000000
545, 455, -5.007707, -0.000000
544, 456, -4.997555, -0.000000
543, 457, -4.982892, -0.000000
542, 458, -4.967963, -0.000000
544, 456, -4.957903, -0.000000
542, 458, -4.941176, -0.000000
541, 459, -4.914822, -0.000000
541, 459, -4.881114, -0.000000
541, 459, -4.846798, -0.000000
541, 459, -4.814674, -0.000000
541, 459, -4.786852, -0.000000
541, 459, -4.758797, -0.000000
542, 458, -4.729927, -0.000000
543, 457, -4.705018, -0.000000
540, 460, -4.677983, -0.000000
543, 457, -4.668473, -0.000000
541, 459, -4.655444, -0.000000
543, 457, -4.649694, -0.000000
545, 455, -4.648594, -0.000000
545, 455, -4.649350, -0.000000
545, 455, -4.652014, -0.000000
547, 453, -4.664124, -0.000000
546, 454, -4.675415, -0.000000
546, 454, -4.680739, -0.000000
548, 452, -4.690249, -0.000000
546, 454, -4.685345, -0.000000
549, 451, -4.690614, -0.000000
547, 453, -4.690898, -0.000000
550, 450, -4.695021, -0.000000
551, 449, -4.699575, -0.000000
553, 447, -4.701700, -0.000000
553, 447, -4.702940, -0.000000
553, 447, -4.706391, -0.000000
553, 447, -4.718515, -0.000000
552, 448, -4.730916, -0.000000
555, 445, -4.751845, -0.000000
552, 448, -4.763658, -0.000000
553, 447, -4.779459, -0.000000
555, 445, -4.805287, -0.000000
554, 446, -4.829350, -0.000000
554, 446, -4.857014, -0.000000
552, 448, -4.886203, -0.000000
553, 447, -4.917363, -0.000000
554, 446, -4.944182, -0.000000
550, 450, -4.954557, -0.000000
553, 447, -4.968333, -0.000000
552, 448, -4.978606, -0.000000
554, 446, -4.991076, -0.000000
555, 445, -5.003840, -0.000000
554, 446, -5.007151, -0.000000
554, 446, -5.006198, -0.000000
555, 445, -5.001325, -0.000000
559, 441, -5.007028, -0.000000
556, 444, -5.007439, -0.000000
557, 443, -5.020063, -0.000000
557, 443, -5.033431, -0.000000
554, 446, -5.046989, -0.000000
553, 447, -5.059720, -0.000000
553, 447, -5.075663, -0.000000
550, 450, -5.081334, -0.000000
550, 450, -5.088161, -0.000000
550, 450, -5.097990, -0.000000
551, 449, -5.112326, -0.000000
551, 449, -5.126720, -0.000000
551, 449, -5.138104, -0.000000
549, 451, -5.139504, -0.000000
551, 449, -5.142859, -0.000000
551, 449, -5.143618, -0.000000
551, 449, -5.146059, -0.000000
551, 449, -5.143229, -0.000000
551, 449, -5.139856, -0.000000
552, 448, -5.137766, -0.000000
549, 451, -5.117315, -0.000000
551, 449, -5.100430, -0.000000
550, 450, -5.075212, -0.000000
549, 451, -5.047094, -0.000000
551, 449, -5.031027, -0.000000
550, 450, -5.018168, -0.000000
550, 450, -5.004571, -0.000000
554, 446, -5.000296, -0.000000
553, 447, -4.997734, -0.000000
554, 446, -4.999428, -0.000000
555, 445, -5.022318, -0.000000
552, 448, -5.048234, -0.000000
552, 448, -5.083870, -0.000000
