roll_accel,roll_intl,roll_cal
  -0.66323,    0.94999,    0.02418
  -0.66323,    0.95046,    0.01090
  -0.66323,    0.95153,   -0.00154
  -0.66323,    0.95282,   -0.01351
  -0.89816,    0.95443,   -0.02962
  -0.89816,    0.95578,   -0.04567
  -0.89816,    0.95714,   -0.06139
  -0.89816,    0.95853,   -0.07676
  -0.99530,    0.96019,   -0.09351
  -0.99530,    0.96236,   -0.10942
  -0.99530,    0.96459,   -0.12494
  -0.99530,    0.96669,   -0.14030
  -1.01700,    0.96904,   -0.15553
  -1.01700,    0.97147,   -0.17038
  -1.01700,    0.97414,   -0.18469
  -1.01700,    0.97720,   -0.19834
  -0.98314,    0.98028,   -0.21102
  -0.98314,    0.98326,   -0.22354
  -0.98314,    0.98616,   -0.23588
  -0.98314,    0.98947,   -0.24759
  -0.96669,    0.99255,   -0.25895
  -0.96669,    0.99560,   -0.27012
  -0.96669,    0.99884,   -0.28088
  -0.96669,    1.00251,   -0.29100
  -0.98779,    1.00633,   -0.30119
  -0.98524,    1.00979,   -0.31148
  -0.98524,    1.01295,   -0.32186
  -0.98524,    1.01596,   -0.33218
  -0.95889,    1.01927,   -0.34147
  -0.95850,    1.02287,   -0.35028
  -0.95850,    1.02661,   -0.35877
  -0.95850,    1.03025,   -0.36720
  -0.95850,    1.03400,   -0.37535
  -0.89358,    1.03738,   -0.38240
  -0.89358,    1.04010,   -0.38996
  -0.89358,    1.04274,   -0.39745
  -0.89358,    1.04513,   -0.40503
  -0.71311,    1.04748,   -0.40888
  -0.71311,    1.04999,   -0.41252
  -0.71311,    1.05233,   -0.41623
  -0.71311,    1.05435,   -0.42019
  -0.46991,    1.05623,   -0.41935
  -0.46991,    1.05810,   -0.41852
  -0.46991,    1.05961,   -0.41807
  -0.46991,    1.06060,   -0.41813
  -0.21875,    1.06130,   -0.41346
  -0.21875,    1.06134,   -0.40953
  -0.21875,    1.06101,   -0.40604
  -0.21875,    1.06038,   -0.40291
  -0.01803,    1.05961,   -0.39597
  -0.01803,    1.05887,   -0.38913
  -0.01803,    1.05777,   -0.38278
  -0.01803,    1.05623,   -0.37700
   0.16810,    1.05406,   -0.36822
   0.16810,    1.05164,   -0.35987
   0.16810,    1.04951,   -0.35140
   0.16810,    1.04726,   -0.34321
   0.33472,    1.04466,   -0.33221
   0.33472,    1.04198,   -0.32150
   0.33472,    1.03966,   -0.31064
   0.33472,    1.03709,   -0.30025
   0.43759,    1.03412,   -0.28841
   0.43759,    1.03070,   -0.27724
   0.43759,    1.02677,   -0.26679
   0.43759,    1.02244,   -0.25695
   0.51743,    1.01835,   -0.24546
   0.51913,    1.01450,   -0.23395
   0.51913,    1.01108,   -0.22224
   0.51913,    1.00773,   -0.21069
   0.50321,    1.00399,   -0.20008
   0.50494,    0.99999,   -0.18991
   0.50494,    0.99576,   -0.18015
   0.50494,    0.99183,   -0.17030
   0.50494,    0.98823,   -0.16033
   0.35810,    0.98448,   -0.15363
   0.35810,    0.98073,   -0.14707
   0.35810,    0.97713,   -0.14050
   0.35810,    0.97379,   -0.13380
   0.10504,    0.96996,   -0.13277
   0.10504,    0.96595,   -0.13194
   0.10504,    0.96206,   -0.13102
   0.10504,    0.95818,   -0.13010
  -0.28768,    0.95447,   -0.13689
  -0.28768,    0.95105,   -0.14325
  -0.28768,    0.94767,   -0.14945
  -0.28768,    0.94451,   -0.15532
  -0.75261,    0.94150,   -0.17021
  -0.75261,    0.93827,   -0.18503
  -0.75261,    0.93474,   -0.19984
  -0.75261,    0.93092,   -0.21463
  -1.38050,    0.92637,   -0.24241
  -1.38050,    0.92111,   -0.27033
  -1.38050,    0.91491,   -0.29861
  -1.38050,    0.90588,   -0.32910
  -2.22771,    0.89563,   -0.37711
  -2.22771,    0.88438,   -0.42515
  -2.22771,    0.87204,   -0.47330
  -2.22771,    0.85878,   -0.52138
  -3.17487,    0.84346,   -0.58946
  -3.17487,    0.82746,   -0.65685
  -3.17487,    0.81097,   -0.72337
  -3.17487,    0.79404,   -0.78899
  -3.94207,    0.77677,   -0.86898
  -3.94207,    0.75879,   -0.94806
  -3.94207,    0.74069,   -1.02568
  -3.94207,    0.72273,   -1.10161
  -4.06672,    0.70474,   -1.17854
  -4.14175,    0.68678,   -1.25540
  -4.14175,    0.66913,   -1.33043
  -4.14175,    0.65182,   -1.40362
  -3.46886,    0.63443,   -1.46197
  -3.45495,    0.61755,   -1.51837
  -3.45495,    0.60120,   -1.57312
  -3.45495,    0.58630,   -1.62536
  -3.45495,    0.57235,   -1.67562
