motor_front,motor_back,pitch_filter,gyro
891, 109, 2.607518, -97.760796
908, 92, 2.060444, -102.124939
916, 84, 1.503297, -104.017090
914, 86, 0.928774, -103.589828
910, 90, 0.348517, -102.582718
903, 97, -0.238461, -100.782127
885, 115, -0.823742, -96.326424
863, 137, -1.400092, -90.955162
842, 158, -1.987588, -85.614426
818, 182, -2.545939, -79.541245
792, 208, -3.069232, -73.223915
765, 235, -3.550334, -66.265694
745, 255, -3.997915, -61.260658
726, 274, -4.404325, -56.682884
708, 292, -4.768534, -52.135628
697, 303, -5.096594, -49.327927
693, 307, -5.399523, -48.320812
678, 322, -5.663618, -44.536514
686, 314, -5.925724, -46.703331
670, 330, -6.171011, -42.705406
651, 349, -6.389995, -37.944519
644, 356, -6.610624, -36.113407
634, 366, -6.827264, -33.671928
628, 372, -7.045163, -32.207039
613, 387, -7.262283, -28.300669
597, 403, -7.457498, -24.455338
583, 417, -7.630476, -20.976227
571, 429, -7.781493, -17.985413
561, 439, -7.914224, -15.391338
553, 447, -8.036361, -13.346599
543, 457, -8.141152, -10.996674
534, 466, -8.228258, -8.555192
528, 472, -8.299290, -7.151341
523, 477, -8.354671, -5.991638
520, 480, -8.389747, -5.198157
511, 489, -8.405725, -2.939787
511, 489, -8.421906, -2.970305
502, 498, -8.422742, -0.742454
496, 504, -8.413696, 1.241249
483, 517, -8.393727, 4.384655
477, 523, -8.372048, 5.971618
463, 537, -8.334932, 9.328654
452, 548, -8.286793, 12.197394
439, 561, -8.222779, 15.462874
427, 573, -8.149318, 18.362133
411, 589, -8.054693, 22.482132
400, 600, -7.947405, 25.045687
388, 612, -7.820846, 28.036501
378, 622, -7.676998, 30.600056
367, 633, -7.510035, 33.346722
355, 645, -7.329669, 36.459606
343, 657, -7.129494, 39.328346
338, 662, -6.924731, 40.518570
326, 674, -6.695448, 43.723015
312, 688, -6.437205, 47.232643
293, 707, -6.158914, 51.993530
273, 727, -5.860988, 56.907009
249, 751, -5.546688, 62.858120
222, 778, -5.208681, 69.633232
190, 810, -4.845652, 77.659599
158, 842, -4.446609, 85.563896
133, 867, -4.007316, 91.881226
114, 886, -3.529967, 96.733673
103, 897, -3.028968, 99.266701
95, 905, -2.497821, 101.372482
77, 923, -1.926936, 105.797668
66, 934, -1.325885, 108.666405
70, 930, -0.727669, 107.689812
73, 927, -0.126837, 106.774261
78, 922, 0.476150, 105.523003
95, 905, 1.099786, 101.311440
109, 891, 1.712209, 97.954414
132, 868, 2.300032, 92.064331
144, 856, 2.876526, 89.012482
158, 842, 3.433168, 85.716484
168, 832, 3.965356, 83.000336
175, 825, 4.476130, 81.443893
190, 810, 4.950085, 77.507011
194, 806, 5.406418, 76.621971
212, 788, 5.833814, 72.135750
225, 775, 6.263321, 68.992340
242, 758, 6.682563, 64.719749
261, 739, 7.089691, 59.867302
279, 721, 7.486667, 55.350563
290, 710, 7.878511, 52.603901
304, 696, 8.258373, 49.185829
314, 686, 8.614397, 46.622272
324, 676, 8.949000, 44.241825
333, 667, 9.262033, 41.952938
353, 647, 9.536764, 36.886868
362, 638, 9.799589, 34.567459
380, 620, 10.038903, 30.142277
398, 602, 10.255081, 25.656057
415, 585, 10.450143, 21.383467
430, 570, 10.630226, 17.629688
444, 556, 10.802457, 14.028504
458, 542, 10.951618, 10.610432
466, 534, 11.076945, 8.596210
469, 531, 11.179483, 7.802728
475, 525, 11.259765, 6.368358
480, 520, 11.315372, 5.117099
486, 514, 11.363954, 3.713248
492, 508, 11.398155, 2.126286
511, 489, 11.394884, -2.817713
520, 480, 11.384270, -5.015046
538, 462, 11.347681, -9.562304
555, 445, 11.260904, -13.987487
567, 433, 11.172747, -16.917265
581, 419, 11.035368, -20.396374
590, 410, 10.871986, -22.685263
600, 400, 10.700276, -25.096224
610, 390, 10.508930, -27.720816
627, 373, 10.295550, -31.993410
648, 352, 10.062230, -37.059483
665, 335, 9.816999, -41.393112
687, 313, 9.566916, -46.764370
714, 286, 9.289982, -53.722591
737, 263, 8.995915, -59.368515
757, 243, 8.685198, -64.343025
778, 222, 8.359121, -69.592209
801, 199, 8.007290, -75.299171
824, 176, 7.628221, -81.036652
845, 155, 7.231085, -86.316353
865, 135, 6.816999, -91.290871
887, 113, 6.372172, -96.784203
917, 83, 5.871858, -104.444351
932, 68, 5.339995, -108.228645
933, 67, 4.807492, -108.472794
954, 46, 4.233500, -113.660934
960, 40, 3.647309, -115.217384
956, 44, 3.030413, -114.118713
958, 42, 2.392293, -114.668045
942, 58, 1.754842, -110.731155
920, 80, 1.123856, -105.054718
903, 97, 0.483728, -100.873680
871, 129, -0.180334, -92.999908
846, 154, -0.821436, -86.621544
832, 168, -1.443173, -83.172943
827, 173, -2.047142, -81.769096
818, 182, -2.619496, -79.663315
812, 188, -3.154064, -78.137390
813, 187, -3.682255, -78.473091
811, 189, -4.193717, -77.832214
810, 190, -4.696439, -77.557541
812, 188, -5.203113, -78.228943
814, 186, -5.722301, -78.595169
817, 183, -6.251542, -79.388649
813, 187, -6.773382, -78.381538
812, 188, -7.289096, -78.198425
804, 196, -7.791940, -76.001099
796, 204, -8.274354, -74.200508
772, 228, -8.720164, -68.035759
767, 233, -9.161587, -66.815025
736, 264, -9.544178, -59.032810
728, 272, -9.912333, -57.018589
699, 301, -10.227294, -49.846737
676, 324, -10.504207, -44.078743
650, 350, -10.743042, -37.700371
628, 372, -10.944158, -32.115486
605, 395, -11.114866, -26.469559
578, 422, -11.237559, -19.541857
559, 441, -11.334636, -14.780969
543, 457, -11.412397, -10.783044
517, 483, -11.452889, -4.496231
499, 501, -11.466253, 0.447768
481, 519, -11.449136, 4.842432
462, 538, -11.402463, 9.603321
445, 555, -11.335351, 13.997986
430, 570, -11.252935, 17.629688
415, 585, -11.154500, 21.261393
407, 593, -11.044492, 23.397688
396, 604, -10.909811, 26.052797
389, 611, -10.758799, 27.761833
382, 618, -10.592829, 29.501390
371, 629, -10.405507, 32.492203
359, 641, -10.206176, 35.391460
351, 649, -10.008906, 37.405682
335, 665, -9.795920, 41.342567
318, 682, -9.570234, 45.523605
304, 696, -9.329427, 49.185829
288, 712, -9.073683, 53.153233
266, 734, -8.790023, 58.616047
249, 751, -8.488853, 62.858120
226, 774, -8.156638, 68.565079
205, 795, -7.809731, 73.997375
178, 822, -7.439966, 80.619896
155, 845, -7.041481, 86.479454
134, 866, -6.614330, 91.667595
115, 885, -6.157570, 96.275894
103, 897, -5.673112, 99.327736
93, 907, -5.162150, 101.921814
96, 904, -4.603902, 101.189369
91, 909, -4.027886, 102.318550
80, 920, -3.429703, 105.126259
78, 922, -2.835172, 105.553520
65, 935, -2.220512, 108.880035
65, 935, -1.617037, 108.819000
64, 936, -1.008758, 109.154701
73, 927, -0.401439, 106.865814
82, 918, 0.209761, 104.546410
95, 905, 0.820059, 101.280922
113, 887, 1.454369, 96.764191
126, 874, 2.084935, 93.651299
146, 854, 2.697718, 88.707298
166, 834, 3.286431, 83.702263
181, 819, 3.854730, 79.826408
202, 798, 4.393121, 74.729820
222, 778, 4.908062, 69.602707
232, 768, 5.403040, 67.008644
252, 748, 5.860831, 62.064636
257, 743, 6.302900, 60.782860
276, 724, 6.709083, 56.052490
275, 725, 7.104385, 56.388195
286, 714, 7.472074, 53.733086
285, 715, 7.827118, 53.794121
288, 712, 8.171260, 53.214272
299, 701, 8.494942, 50.406567
