yaw_desired,yaw_gyro,m1,m2,m3,m4
0.000000, 0.719382, 602, 597, 597, 602 
0.000000, -0.226692, 599, 600, 600, 599 
0.000000, 1.329752, 603, 596, 596, 603 
0.000000, 0.047975, 600, 599, 599, 600 
0.000000, 0.292123, 600, 599, 599, 600 
0.000000, 0.505753, 601, 598, 598, 601 
0.000000, -0.043581, 599, 600, 600, 599 
0.000000, 0.261605, 600, 599, 599, 600 
0.000000, -0.196173, 599, 600, 600, 599 
0.000000, 0.353160, 601, 598, 598, 601 
0.000000, 0.109012, 600, 599, 599, 600 
0.000000, 0.017457, 600, 599, 599, 600 
0.000000, 0.353160, 601, 598, 598, 601 
0.000000, 0.170049, 600, 599, 599, 600 
0.000000, 0.963530, 602, 597, 597, 602 
0.000000, 0.139531, 600, 599, 599, 600 
0.000000, 0.292123, 600, 599, 599, 600 
0.000000, 1.055086, 603, 596, 596, 603 
0.000000, -0.013062, 599, 600, 600, 599 
0.000000, 0.566790, 601, 598, 598, 601 
0.000000, -0.104618, 599, 600, 600, 599 
0.000000, -0.104618, 599, 600, 600, 599 
0.000000, -0.013062, 599, 600, 600, 599 
0.000000, 0.322642, 600, 599, 599, 600 
0.000000, -0.013062, 599, 600, 600, 599 
0.000000, 0.292123, 600, 599, 599, 600 
0.000000, 0.780419, 602, 597, 597, 602 
0.000000, -0.379284, 598, 601, 601, 598 
0.000000, 0.475234, 601, 598, 598, 601 
0.000000, 0.597308, 601, 598, 598, 601 
0.000000, 0.200568, 600, 599, 599, 600 
0.000000, 0.139531, 600, 599, 599, 600 
0.000000, 0.322642, 600, 599, 599, 600 
0.000000, 1.207678, 603, 596, 596, 603 
0.000000, 0.841456, 602, 597, 597, 602 
0.000000, -0.440321, 598, 601, 601, 598 
0.000000, 0.109012, 600, 599, 599, 600 
0.000000, 0.688864, 602, 597, 597, 602 
0.000000, -0.226692, 599, 600, 600, 599 
0.000000, 0.139531, 600, 599, 599, 600 
0.000000, 0.688864, 602, 597, 597, 602 
0.000000, -0.318247, 599, 600, 600, 599 
0.000000, 0.566790, 601, 598, 598, 601 
0.000000, 0.078494, 600, 599, 599, 600 
0.000000, 0.566790, 601, 598, 598, 601 
0.000000, 0.353160, 601, 598, 598, 601 
0.000000, 0.749901, 602, 597, 597, 602 
0.000000, 0.627827, 601, 598, 598, 601 
0.000000, 0.780419, 602, 597, 597, 602 
0.000000, 0.231086, 600, 599, 599, 600 
0.000000, 0.536271, 601, 598, 598, 601 
0.000000, -0.379284, 598, 601, 601, 598 
0.000000, -0.135136, 599, 600, 600, 599 
0.000000, 0.353160, 601, 598, 598, 601 
0.000000, 0.047975, 600, 599, 599, 600 
0.000000, -0.135136, 599, 600, 600, 599 
0.000000, 0.231086, 600, 599, 599, 600 
0.000000, 0.658345, 601, 598, 598, 601 
0.000000, 0.170049, 600, 599, 599, 600 
0.000000, -0.196173, 599, 600, 600, 599 
0.000000, 0.688864, 602, 597, 597, 602 
0.000000, 0.109012, 600, 599, 599, 600 
0.000000, 0.414197, 601, 598, 598, 601 
0.000000, 0.200568, 600, 599, 599, 600 
0.000000, 0.292123, 600, 599, 599, 600 
0.000000, 0.139531, 600, 599, 599, 600 
0.000000, 0.353160, 601, 598, 598, 601 
0.000000, -0.440321, 598, 601, 601, 598 
0.000000, 5.449751, 616, 583, 583, 616 
0.000000, -12.159430, 563, 636, 636, 563 
0.000000, 10.729453, 632, 567, 567, 632 
0.000000, 9.539231, 628, 571, 571, 628 
0.000000, -15.119724, 554, 645, 645, 554 
0.000000, 9.356120, 628, 571, 571, 628 
0.000000, -8.222542, 575, 624, 624, 575 
0.000000, 6.212714, 618, 581, 581, 618 
0.000000, -5.414838, 583, 616, 616, 583 
0.000000, 1.024567, 603, 596, 596, 603 
0.000000, -4.987579, 585, 614, 614, 585 
0.000000, -0.776025, 597, 602, 602, 597 
0.000000, -3.553209, 589, 610, 610, 589 
0.000000, 0.933012, 602, 597, 597, 602 
0.000000, -2.973357, 591, 608, 608, 591 
0.000000, 1.146641, 603, 596, 596, 603 
0.000000, -2.240913, 593, 606, 606, 593 
0.000000, 0.383679, 601, 598, 598, 601 
0.000000, 0.963530, 602, 597, 597, 602 
0.000000, -0.104618, 599, 600, 600, 599 
0.000000, -3.125950, 590, 609, 609, 590 
0.000000, 9.569750, 628, 571, 571, 628 
0.000000, -16.859280, 549, 650, 650, 549 
0.000000, 18.603230, 655, 544, 544, 655 
0.000000, -9.992615, 570, 629, 629, 570 
0.000000, 16.772120, 650, 549, 549, 650 
0.000000, -5.353801, 583, 616, 616, 583 
0.000000, 16.589008, 649, 550, 550, 649 
0.000000, 2.397900, 607, 592, 592, 607 
0.000000, 25.958189, 677, 522, 522, 677 
0.000000, 13.079378, 639, 560, 560, 639 
0.000000, 26.995819, 680, 519, 519, 680 
0.000000, 4.229011, 612, 587, 587, 612 
0.000000, 14.483230, 643, 556, 556, 643 
0.000000, 0.566790, 601, 598, 598, 601 
0.000000, 17.107821, 651, 548, 548, 651 
0.000000, 0.505753, 601, 598, 598, 601 
0.000000, 9.295083, 627, 572, 572, 627 
0.000000, -1.600025, 595, 604, 604, 595 
0.000000, 11.248267, 633, 566, 566, 633 
0.000000, -3.675283, 588, 611, 611, 588 
0.000000, 9.050935, 627, 572, 572, 627 
0.000000, -1.477950, 595, 604, 604, 595 
0.000000, 7.647084, 622, 577, 577, 622 
0.000000, -5.048616, 584, 615, 615, 584 
0.000000, 7.128269, 621, 578, 578, 621 
0.000000, -1.783136, 594, 605, 605, 594 
0.000000, 11.309304, 633, 566, 566, 633 
0.000000, -1.142247, 596, 603, 603, 596 
0.000000, 8.226935, 624, 575, 575, 624 
0.000000, -3.766839, 588, 611, 611, 588 
0.000000, 7.463973, 622, 577, 577, 622 
0.000000, -2.881802, 591, 608, 608, 591 
0.000000, 7.555529, 622, 577, 577, 622 
0.000000, -2.820765, 591, 608, 608, 591 
0.000000, 5.236122, 615, 584, 584, 615 
0.000000, -4.743431, 585, 614, 614, 585 
0.000000, 3.466048, 610, 589, 589, 610 
0.000000, -4.407727, 586, 613, 613, 586 
0.000000, 7.006195, 621, 578, 578, 621 
0.000000, -2.454543, 592, 607, 607, 592 
0.000000, 6.914640, 620, 579, 579, 620 
0.000000, -1.935728, 594, 605, 605, 594 
0.000000, 7.494492, 622, 577, 577, 622 
0.000000, -2.149358, 593, 606, 606, 593 
0.000000, 6.090640, 618, 581, 581, 618 
0.000000, -2.576617, 592, 607, 607, 592 
0.000000, 6.884121, 620, 579, 579, 620 
0.000000, -3.400616, 589, 610, 610, 589 
0.000000, 7.006195, 621, 578, 578, 621 
0.000000, 0.047975, 600, 599, 599, 600 
0.000000, 10.088564, 630, 569, 569, 630 
0.000000, 2.336863, 607, 592, 592, 607 
0.000000, 9.844416, 629, 570, 570, 629 
0.000000, -0.440321, 598, 601, 601, 598 
0.000000, 4.717307, 614, 585, 585, 614 
0.000000, -2.698691, 591, 608, 608, 591 
0.000000, 5.510788, 616, 583, 583, 616 
0.000000, -1.661062, 595, 604, 604, 595 
0.000000, 5.938047, 617, 582, 582, 617 
0.000000, -2.271432, 593, 606, 606, 593 
0.000000, 5.724418, 617, 582, 582, 617 
0.000000, -2.240913, 593, 606, 606, 593 
0.000000, 4.869900, 614, 585, 585, 614 
0.000000, -3.186987, 590, 609, 609, 590 
0.000000, 3.862789, 611, 588, 588, 611 
0.000000, -3.644765, 589, 610, 610, 589 
0.000000, 1.909604, 605, 594, 594, 605 
0.000000, -5.323283, 584, 615, 615, 584 
0.000000, 1.757012, 605, 594, 594, 605 
0.000000, -1.630543, 595, 604, 604, 595 
0.000000, 4.534196, 613, 586, 586, 613 
0.000000, -0.745506, 597, 602, 602, 597 
0.000000, 5.846492, 617, 582, 582, 617 
0.000000, -0.226692, 599, 600, 600, 599 
0.000000, 5.022492, 615, 584, 584, 615 
0.000000, 1.024567, 603, 596, 596, 603 
0.000000, 4.686789, 614, 585, 585, 614 
0.000000, -0.776025, 597, 602, 602, 597 
0.000000, 0.810938, 602, 597, 597, 602 
0.000000, -1.752617, 594, 605, 605, 594 
0.000000, 1.909604, 605, 594, 594, 605 
0.000000, -2.088320, 593, 606, 606, 593 
0.000000, 2.336863, 607, 592, 592, 607 
0.000000, -0.409803, 598, 601, 601, 598 
0.000000, 3.771233, 611, 588, 588, 611 
0.000000, 0.322642, 600, 599, 599, 600 
0.000000, 3.801752, 611, 588, 588, 611 
0.000000, 0.261605, 600, 599, 599, 600 
0.000000, 1.634937, 604, 595, 595, 604 
0.000000, -3.003876, 590, 609, 609, 590 
0.000000, -0.013062, 599, 600, 600, 599 
0.000000, -3.064913, 590, 609, 609, 590 
-8.593750, -0.104618, 625, 574, 574, 625 
-8.593750, -3.919431, 614, 585, 585, 614 
-8.593750, -2.942839, 616, 583, 583, 616 
-8.593750, -8.161505, 601, 598, 598, 601 
-8.593750, -1.844173, 620, 579, 579, 620 
-8.593750, -3.949950, 613, 586, 586, 613 
-8.593750, 3.191381, 635, 564, 564, 635 
-8.593750, -2.851283, 617, 582, 582, 617 
-74.218750, 1.879086, 828, 371, 371, 828 
-74.218750, -3.888913, 810, 389, 389, 810 
-74.218750, -7.734245, 799, 400, 400, 799 
-74.218750, -35.506088, 716, 483, 483, 716 
-74.218750, -22.230537, 755, 444, 444, 755 
-74.218750, -29.738092, 733, 466, 466, 733 
-74.218750, -5.933653, 804, 395, 395, 804 
-74.218750, -15.699577, 775, 424, 424, 775 
-74.218750, -2.485061, 815, 384, 384, 815 
-74.218750, -17.927427, 768, 431, 431, 768 
-74.218750, -3.278543, 812, 387, 387, 812 
-74.218750, -15.180761, 777, 422, 422, 777 
-74.218750, 1.299234, 826, 373, 373, 826 
-74.218750, -14.082095, 780, 419, 419, 780 
-74.218750, 0.902493, 825, 374, 374, 825 
-74.218750, -11.396466, 788, 411, 411, 788 
-74.218750, 4.290048, 835, 364, 364, 835 
-74.218750, -8.222542, 797, 402, 402, 797 
-74.218750, 5.968566, 840, 359, 359, 840 
-74.218750, -6.696616, 802, 397, 397, 802 
-74.218750, 6.212714, 841, 358, 358, 841 
-74.218750, -7.184912, 801, 398, 398, 801 
-74.218750, 5.266640, 838, 361, 361, 838 
-74.218750, -7.368023, 800, 399, 399, 800 
-74.218750, 6.914640, 843, 356, 356, 843 
-74.218750, -6.788171, 802, 397, 397, 802 
-74.218750, 5.968566, 840, 359, 359, 840 
-74.218750, -8.192023, 798, 401, 401, 798 
-74.218750, 7.067232, 843, 356, 356, 843 
-74.218750, -6.086246, 804, 395, 395, 804 
-74.218750, 7.647084, 845, 354, 354, 845 
-74.218750, -6.818689, 802, 397, 397, 802 
-74.218750, 8.287972, 847, 352, 352, 847 
-74.218750, -5.353801, 806, 393, 393, 806 
-74.218750, 9.752861, 851, 348, 348, 851 
-74.218750, -2.271432, 815, 384, 384, 815 
-99.218750, 10.637897, 929, 270, 270, 929 
-99.218750, -2.424024, 890, 309, 309, 890 
-99.218750, 6.914640, 918, 281, 281, 918 
-99.218750, -17.469650, 845, 354, 354, 845 
-99.218750, -0.776025, 895, 304, 304, 895 
-99.218750, -12.739281, 859, 340, 340, 859 
-99.218750, 5.358196, 913, 286, 286, 913 
-99.218750, -3.370098, 887, 312, 312, 887 
-99.218750, 9.081453, 924, 275, 275, 924 
-99.218750, -4.041505, 885, 314, 314, 885 
-99.218750, 5.236122, 913, 286, 286, 913 
-99.218750, -4.407727, 884, 315, 315, 884 
-99.218750, 4.290048, 910, 289, 289, 910 
-99.218750, -3.736320, 886, 313, 313, 886 
-99.218750, 4.381603, 910, 289, 289, 910 
-99.218750, -4.621357, 883, 316, 316, 883 
-99.218750, 4.595233, 911, 288, 288, 911 
-99.218750, -2.607135, 889, 310, 310, 889 
-99.218750, 3.649159, 908, 291, 291, 908 
-99.218750, -4.865505, 883, 316, 316, 883 
-99.218750, 4.229011, 910, 289, 289, 910 
-99.218750, -1.783136, 892, 307, 307, 892 
-99.218750, 4.686789, 911, 288, 288, 911 
-99.218750, -2.576617, 889, 310, 310, 889 
-99.218750, 2.916715, 906, 293, 293, 906 
-99.218750, -3.278543, 887, 312, 312, 887 
-99.218750, 2.336863, 904, 295, 295, 904 
-99.218750, -3.125950, 888, 311, 311, 888 
-99.218750, 2.428419, 904, 295, 295, 904 
-99.218750, -5.445357, 881, 318, 318, 881 
-99.218750, 0.200568, 898, 301, 301, 898 
-99.218750, -6.238838, 878, 321, 321, 878 
-99.218750, 0.749901, 899, 300, 300, 899 
-99.218750, -5.475875, 881, 318, 318, 881 
-99.218750, 1.299234, 901, 298, 298, 901 
-99.218750, -6.849208, 877, 322, 322, 877 
-99.218750, 0.597308, 899, 300, 300, 899 
-99.218750, -5.018097, 882, 317, 317, 882 
-99.218750, 2.550493, 905, 294, 294, 905 
-99.218750, -3.431135, 887, 312, 312, 887 
-99.218750, 3.618641, 908, 291, 291, 908 
-99.218750, -3.492172, 887, 312, 312, 887 
-99.218750, 5.510788, 914, 285, 285, 914 
-99.218750, -3.125950, 888, 311, 311, 888 
-99.218750, 4.778344, 911, 288, 288, 911 
-99.218750, -2.851283, 889, 310, 310, 889 
-99.218750, 5.022492, 912, 287, 287, 912 
-99.218750, -3.980468, 885, 314, 314, 885 
-99.218750, 3.923826, 909, 290, 290, 909 
-99.218750, -3.614246, 884, 311, 311, 884 
-99.218750, 3.038789, 904, 291, 291, 904 
-99.218750, -3.919431, 883, 312, 312, 883 
-99.218750, 1.055086, 898, 297, 297, 898 
-99.218750, -5.445357, 879, 316, 316, 879 
-99.218750, 1.970641, 901, 294, 294, 901 
-99.218750, -2.240913, 888, 307, 307, 888 
-99.218750, 3.466048, 906, 289, 289, 906 
-99.218750, -1.905210, 889, 306, 306, 889 
-99.218750, 1.726493, 900, 295, 295, 900 
-99.218750, -2.973357, 886, 309, 309, 886 
-99.218750, 1.940123, 901, 294, 294, 901 
-99.218750, -1.416914, 891, 304, 304, 891 
-99.218750, 2.733604, 903, 292, 292, 903 
-99.218750, -1.477950, 891, 304, 304, 891 
-99.218750, 2.031678, 901, 294, 294, 901 
-99.218750, -4.255135, 882, 313, 313, 882 
-99.218750, -2.301950, 888, 307, 307, 888 
-99.218750, -6.086246, 877, 318, 318, 877 
-99.218750, -1.355876, 891, 304, 304, 891 
-99.218750, -5.353801, 879, 316, 316, 879 
-99.218750, -1.203284, 892, 303, 303, 892 
-99.218750, -5.781060, 878, 317, 317, 878 
-99.218750, -2.271432, 888, 307, 307, 888 
-99.218750, -4.865505, 881, 314, 314, 881 
-99.218750, -1.020173, 892, 303, 303, 892 
-99.218750, -4.377209, 882, 313, 313, 882 
-99.218750, 0.170049, 896, 299, 299, 896 
-99.218750, -3.309061, 885, 310, 310, 885 
-99.218750, 2.489456, 903, 292, 292, 903 
-99.218750, -0.684469, 893, 302, 302, 893 
-99.218750, 1.726493, 900, 295, 295, 900 
-99.218750, -1.142247, 892, 303, 303, 892 
-99.218750, 0.933012, 898, 297, 297, 898 
-99.218750, -0.257210, 894, 301, 301, 894 
-99.218750, 2.672567, 903, 292, 292, 903 
0.000000, 0.109012, 600, 599, 599, 600 
0.000000, 2.275826, 606, 593, 593, 606 
0.000000, 18.877895, 656, 543, 543, 656 
0.000000, 62.000549, 786, 413, 413, 786 
0.000000, 54.462482, 763, 436, 436, 763 
0.000000, 61.634327, 784, 415, 415, 784 
0.000000, 28.063967, 684, 515, 515, 684 
0.000000, 33.007969, 699, 500, 500, 699 
0.000000, 14.300118, 642, 557, 557, 642 
