all i2c devices detected
calibration complete, -0.723899 0.469468 6.348301 -9.616370 7.730801 0.000000
 -25.95722,  -76.87149,  -27.08114
 -25.95722,  -76.95692,  -27.14238
 -25.95722,  -77.04147,  -27.20154
 -25.86719,  -77.12566,  -27.25736
 -25.86719,  -77.20914,  -27.31137
 -25.86719,  -77.29195,  -27.36364
 -25.86719,  -77.37402,  -27.41414
 -26.17264,  -77.45604,  -27.46968
 -25.93942,  -77.53671,  -27.51814
 -25.93942,  -77.61669,  -27.56495
 -25.93942,  -77.69514,  -27.60932
 -26.31178,  -77.77295,  -27.65962
 -26.12707,  -77.84940,  -27.70389
 -26.12707,  -77.92487,  -27.74632
 -26.12707,  -77.99828,  -27.78587
 -26.12707,  -78.07081,  -27.82377
 -26.37542,  -78.14261,  -27.86516
 -26.37542,  -78.21336,  -27.90470
 -26.37542,  -78.28291,  -27.94227
 -26.37542,  -78.35039,  -27.97707
 -26.61598,  -78.41677,  -28.01490
 -26.61598,  -78.48218,  -28.05101
 -26.61598,  -78.54631,  -28.08517
 -26.61598,  -78.60909,  -28.11731
 -26.77981,  -78.66903,  -28.14930
 -26.77981,  -78.72773,  -28.17944
 -26.77981,  -78.78519,  -28.20776
 -26.77981,  -78.84132,  -28.23421
 -26.83173,  -78.89535,  -28.25911
 -26.83173,  -78.94806,  -28.28222
 -26.83173,  -78.99917,  -28.30330
 -26.83173,  -79.04896,  -28.32266
 -26.72722,  -79.09786,  -28.33869
 -26.72722,  -79.14477,  -28.35243
 -26.72722,  -79.19013,  -28.36438
 -26.72722,  -79.23456,  -28.37518
 -26.48273,  -79.27773,  -28.37964
 -26.48273,  -79.31940,  -28.38254
 -26.48273,  -79.35767,  -28.38205
 -26.48273,  -79.39490,  -28.38055
 -26.35797,  -79.43081,  -28.37529
 -26.35797,  -79.46548,  -28.36892
 -26.35797,  -79.49884,  -28.36139
 -26.35797,  -79.52974,  -28.35161
 -26.66944,  -79.55915,  -28.34679
 -26.66944,  -79.58747,  -28.34099
 -26.66944,  -79.61569,  -28.33522
 -26.66944,  -79.64332,  -28.32897
 -27.47231,  -79.67040,  -28.33838
 -27.47231,  -79.69766,  -28.34777
 -27.47231,  -79.72449,  -28.35656
 -27.47231,  -79.75146,  -28.36531
 -28.31253,  -79.77820,  -28.39046
 -28.76539,  -79.80559,  -28.42479
 -28.76539,  -79.83320,  -28.45866
 -28.76539,  -79.86160,  -28.49263
 -29.55478,  -79.89095,  -28.54263
 -30.25313,  -79.92136,  -28.60665
 -30.25313,  -79.95386,  -28.67142
 -30.25313,  -79.98734,  -28.73587
 -30.25313,  -80.02187,  -28.80006
 -31.59003,  -80.05925,  -28.89249
 -31.59003,  -80.09731,  -28.98374
 -31.59003,  -80.13815,  -29.07589
 -31.59003,  -80.18042,  -29.16760
 -32.63485,  -80.22430,  -29.27995
 -32.63485,  -80.27027,  -29.39209
 -32.63485,  -80.32037,  -29.50604
 -32.63485,  -80.37276,  -29.61996
 -33.39639,  -80.42769,  -29.74932
 -33.39639,  -80.48480,  -29.87824
 -33.39639,  -80.54445,  -30.00706
 -33.39639,  -80.60683,  -30.13598
 -33.94096,  -80.67376,  -30.27767
 -33.94096,  -80.74277,  -30.41857
 -33.94096,  -80.81432,  -30.55914
 -33.94096,  -80.88863,  -30.69960
 -34.28780,  -80.96853,  -30.84966
 -34.28780,  -81.05113,  -30.99938
 -34.28780,  -81.13651,  -31.14881
 -34.28780,  -81.22396,  -31.29730
 -34.42657,  -81.31333,  -31.44747
 -34.42657,  -81.40651,  -31.59837
 -34.42657,  -81.50181,  -31.74832
 -34.42657,  -81.59916,  -31.89729
 -34.21353,  -81.69816,  -32.04063
 -34.21353,  -81.79935,  -32.18326
 -34.21353,  -81.90308,  -32.32553
 -34.21353,  -82.00800,  -32.46610
 -33.63039,  -82.11398,  -32.59325
 -33.63039,  -82.22080,  -32.71868
 -33.63039,  -82.32886,  -32.84281
 -33.63039,  -82.43882,  -32.96633
 -33.18807,  -82.54875,  -33.07849
 -32.72324,  -82.65888,  -33.17931
 -32.72324,  -82.76895,  -33.27806
 -32.72324,  -82.87943,  -33.37523
 -32.72324,  -82.98949,  -33.47005
 -31.70406,  -83.10767,  -33.55055
 -31.70406,  -83.21721,  -33.62097
 -31.70406,  -83.32554,  -33.68880
 -31.70406,  -83.43350,  -33.75491
 -30.73895,  -83.53991,  -33.79887
 -30.73895,  -83.64455,  -33.84022
 -30.73895,  -83.74762,  -33.87920
 -30.73895,  -83.84924,  -33.91599
 -30.01881,  -83.94769,  -33.93452
 -30.01881,  -84.04415,  -33.95075
 -30.01881,  -84.13858,  -33.96465
 -30.01881,  -84.23148,  -33.97677
 -29.65222,  -84.32205,  -33.97904
 -29.65222,  -84.40973,  -33.97843
 -29.65222,  -84.49590,  -33.97636
 -29.65222,  -84.57999,  -33.97229
 -29.53993,  -84.66151,  -33.96352
 -29.53993,  -84.74117,  -33.95312
 -29.53993,  -84.81618,  -33.93837
 -29.53993,  -84.88888,  -33.92165
 -29.68772,  -84.95943,  -33.90612
 -29.68772,  -85.02810,  -33.88905
 -29.68772,  -85.09474,  -33.87033
 -29.68772,  -85.15707,  -33.84777
 -29.87904,  -85.21727,  -33.82739
 -29.87904,  -85.27538,  -33.80538
 -29.87904,  -85.33115,  -33.78150
 -29.87904,  -85.38463,  -33.75586
 -30.09548,  -85.43327,  -33.73033
 -30.09548,  -85.47911,  -33.70256
 -30.09548,  -85.52251,  -33.67295
 -30.09548,  -85.56451,  -33.64257
 -30.23548,  -85.60311,  -33.61225
 -30.23548,  -85.63636,  -33.57730
 -30.23548,  -85.66692,  -33.54042
 -30.23548,  -85.69489,  -33.50173
 -30.34223,  -85.72108,  -33.46421
 -30.34223,  -85.74285,  -33.42310
 -30.34223,  -85.76176,  -33.38002
 -30.34223,  -85.77796,  -33.33514
 -30.62768,  -85.79177,  -33.29453
 -30.41305,  -85.80354,  -33.24844
 -30.41305,  -85.81149,  -33.19953
 -30.41305,  -85.81734,  -33.14954
 -30.68224,  -85.82043,  -33.10322
 -30.54539,  -85.82088,  -33.05250
 -30.54539,  -85.81860,  -33.00013
 -30.54539,  -85.81236,  -32.94492
 -30.54539,  -85.80408,  -32.88882
 -31.02513,  -85.79382,  -32.84149
 -31.02513,  -85.78159,  -32.79318
 -31.02513,  -85.76746,  -32.74398
 -31.02513,  -85.75066,  -32.69314
 -32.04242,  -85.73291,  -32.66273
 -32.04242,  -85.71421,  -32.63200
 -32.04242,  -85.69491,  -32.60128
 -32.04242,  -85.67516,  -32.57075
 -33.35440,  -85.65383,  -32.56553
 -33.35440,  -85.63224,  -32.56015
 -33.35440,  -85.61104,  -32.55526
 -33.35440,  -85.59042,  -32.55103
 -34.84732,  -85.57050,  -32.57743
 -34.84732,  -85.55141,  -32.60413
 -34.84732,  -85.53316,  -32.63111
 -34.84732,  -85.51653,  -32.65914
 -35.97735,  -85.50136,  -32.71063
 -35.97735,  -85.48763,  -32.76252
 -35.97735,  -85.46525,  -32.80488
 -36.46793,  -85.45615,  -32.86922
 -36.46793,  -85.44853,  -32.93373
 -36.46793,  -85.44390,  -32.99989
 -36.46793,  -85.44051,  -33.06592
 -36.26603,  -85.43884,  -33.12830
 -36.26603,  -85.44106,  -33.19322
 -36.26603,  -85.44408,  -33.25764
 -36.26603,  -85.44868,  -33.32232
 -35.48962,  -85.45518,  -33.37204
 -35.48962,  -85.46347,  -33.42251
 -35.48962,  -85.47485,  -33.47501
 -35.48962,  -85.48736,  -33.52755
 -34.37766,  -85.50132,  -33.55824
 -34.37766,  -85.51643,  -33.58943
 -34.37766,  -85.53305,  -33.62149
 -34.37766,  -85.55182,  -33.65500
 -33.24579,  -85.57144,  -33.66605
 -33.24579,  -85.59159,  -33.67739
 -33.24579,  -85.61196,  -33.68872
 -33.24579,  -85.63255,  -33.70004
 -32.29519,  -85.65360,  -33.69258
 -32.29519,  -85.67421,  -33.68483
 -32.29519,  -85.69423,  -33.67666
 -32.29519,  -85.71312,  -33.66754
 -31.61505,  -85.72969,  -33.64272
 -31.61505,  -85.74427,  -33.61646
 -31.61505,  -85.75752,  -33.58942
 -31.61505,  -85.76885,  -33.56104
 -31.00069,  -85.77835,  -33.51915
 -31.00069,  -85.78384,  -33.47416
 -31.00069,  -85.78693,  -33.42772
 -31.00069,  -85.78763,  -33.37987
 -30.40864,  -85.78583,  -33.31868
 -30.40864,  -85.78181,  -33.25655
 -30.40864,  -85.77245,  -33.19041
 -30.40864,  -85.76037,  -33.12294
 -30.53674,  -85.74560,  -33.05674
 -29.81401,  -85.72846,  -32.97509
 -29.81401,  -85.70846,  -32.89227
 -29.81401,  -85.68350,  -32.80624
 -29.81401,  -85.65652,  -32.71996
 -29.37367,  -85.62720,  -32.62431
 -29.37367,  -85.59555,  -32.52827
 -29.37367,  -85.56146,  -32.43178
 -29.37367,  -85.52335,  -32.33326
 -29.11730,  -85.48312,  -32.22952
 -29.11730,  -85.44150,  -32.12649
 -29.11730,  -85.39855,  -32.02422
 -29.11730,  -85.35291,  -31.92135
 -29.06309,  -85.30200,  -31.81430
 -29.06309,  -85.25259,  -31.71085
 -29.06309,  -85.20270,  -31.60900
 -29.06309,  -85.15170,  -31.50810
 -28.99115,  -85.09845,  -31.40558
 -28.99115,  -85.04398,  -31.30391
 -28.99115,  -84.98865,  -31.20343
 -28.99115,  -84.93213,  -31.10379
 -28.82029,  -84.87479,  -31.00193
 -28.82029,  -84.81612,  -30.90080
 -28.82029,  -84.75578,  -30.80007
 -28.82029,  -84.69366,  -30.69959
 -28.30618,  -84.62836,  -30.58773
 -28.30618,  -84.56385,  -30.47887
 -28.30618,  -84.49783,  -30.37073
 -28.30618,  -84.43077,  -30.26371
 -27.54890,  -84.36272,  -30.14273
 -27.54890,  -84.29341,  -30.02293
 -27.54890,  -84.22126,  -29.90275
 -27.54890,  -84.14771,  -29.78359
 -26.71605,  -84.07249,  -29.64853
 -26.71605,  -83.99570,  -29.51462
 -26.71605,  -83.91762,  -29.38213
 -26.71605,  -83.83672,  -29.24953
 -26.14877,  -83.75373,  -29.10619
 -26.14877,  -83.66889,  -28.96390
 -26.14877,  -83.58231,  -28.82274
 -26.14877,  -83.49448,  -28.68320
 -26.18742,  -83.40363,  -28.54426
 -26.18742,  -83.31094,  -28.40627
 -26.18742,  -83.21649,  -28.26934
 -26.18742,  -83.12009,  -28.13322
 -26.99273,  -83.02225,  -28.01453
 -26.99273,  -82.92179,  -27.89565
 -26.99273,  -82.81966,  -27.77750
 -26.99273,  -82.71599,  -27.66021
 -28.10082,  -82.61102,  -27.56616
 -28.45385,  -82.50474,  -27.47976
 -28.45385,  -82.39434,  -27.39105
 -28.45385,  -82.28455,  -27.30471
 -28.45385,  -82.17371,  -27.21907
 -30.21795,  -82.06167,  -27.16925
 -30.21795,  -81.94912,  -27.11993
 -30.21795,  -81.83511,  -27.07016
 -30.21795,  -81.72021,  -27.02052
 -31.83205,  -81.60494,  -27.00378
 -31.83205,  -81.49015,  -26.98785
 -31.83205,  -81.37589,  -26.97276
 -31.83205,  -81.26131,  -26.95766
 -32.93081,  -81.14663,  -26.96474
 -32.93081,  -81.03192,  -26.97165
 -32.93081,  -80.91682,  -26.97804
 -32.93081,  -80.80295,  -26.98549
 -33.41021,  -80.68977,  -27.00308
 -33.41021,  -80.57712,  -27.02082
 -33.41021,  -80.46455,  -27.03829
 -33.41021,  -80.35315,  -27.05655
 -33.45619,  -80.24287,  -27.07647
 -33.45619,  -80.13313,  -27.09653
 -33.45619,  -80.02463,  -27.11739
 -33.45619,  -79.91748,  -27.13916
 -33.14822,  -79.81179,  -27.15577
 -33.14822,  -79.71000,  -27.17586
 -33.14822,  -79.60951,  -27.19683
 -33.14822,  -79.50847,  -27.21684
 -32.65963,  -79.41022,  -27.22941
 -32.65963,  -79.31402,  -27.24374
 -32.65963,  -79.22199,  -27.26188
 -32.65963,  -79.13138,  -27.28102
 -31.88840,  -79.04269,  -27.28626
 -31.88840,  -78.95588,  -27.29322
 -31.88840,  -78.87100,  -27.30195
 -31.88840,  -78.78977,  -27.31407
 -30.85440,  -78.71023,  -27.30693
 -30.85440,  -78.63220,  -27.30142
 -30.85440,  -78.55605,  -27.29785
 -30.85440,  -78.48279,  -27.29718
