motor_front,motor_back,pitch_filter,pitch_raw
427, 573, 7.781871, 7.977855
429, 571, 7.764900, 7.836051
428, 572, 7.749079, 7.717475
428, 572, 7.735384, 7.798591
428, 572, 7.714730, 7.516718
429, 571, 7.692199, 7.366943
429, 571, 7.669590, 7.349576
429, 571, 7.647880, 7.399024
429, 571, 7.628185, 7.451226
428, 572, 7.612039, 7.547082
430, 570, 7.593380, 7.538320
430, 570, 7.577032, 7.599997
431, 569, 7.565855, 7.895232
431, 569, 7.554374, 7.949427
432, 568, 7.537176, 7.758214
431, 569, 7.525874, 7.947500
432, 568, 7.510603, 7.826064
432, 568, 7.489566, 7.445910
432, 568, 7.471286, 7.595245
433, 567, 7.453620, 7.670100
433, 567, 7.431604, 7.407836
433, 567, 7.416424, 7.763821
434, 566, 7.393923, 7.409057
434, 566, 7.371740, 7.331012
435, 565, 7.346682, 7.334435
435, 565, 7.321542, 7.296912
435, 565, 7.297174, 7.229487
435, 565, 7.269565, 6.956668
434, 566, 7.242825, 6.827446
434, 566, 7.220886, 7.113752
433, 567, 7.204109, 7.168567
433, 567, 7.192578, 7.333952
433, 567, 7.179014, 7.229351
433, 567, 7.160354, 6.969960
431, 569, 7.157052, 7.426417
432, 568, 7.144547, 7.069682
431, 569, 7.130110, 6.809958
432, 568, 7.118786, 7.039715
432, 568, 7.104469, 6.959058
430, 570, 7.100739, 7.153774
432, 568, 7.090484, 6.948434
432, 568, 7.090421, 7.492006
433, 567, 7.084093, 7.232272
434, 566, 7.072791, 7.122742
431, 569, 7.071048, 7.230882
434, 566, 7.064832, 7.480841
431, 569, 7.069975, 7.513703
438, 562, 7.053987, 7.566424
439, 561, 7.034589, 7.540457
442, 558, 7.013299, 7.790086
446, 554, 6.989598, 8.103220
446, 554, 6.965452, 8.011586
451, 549, 6.916532, 7.471000
455, 545, 6.860795, 7.568841
459, 541, 6.790723, 7.171210
464, 536, 6.713995, 7.532393
465, 535, 6.630274, 7.062541
472, 528, 6.528229, 6.957348
475, 525, 6.444956, 8.072172
477, 523, 6.339816, 7.166844
482, 518, 6.215282, 6.657818
484, 516, 6.096066, 6.787728
489, 511, 5.941437, 5.386457
492, 508, 5.813553, 6.916032
496, 504, 5.684012, 7.004959
501, 499, 5.518167, 5.594518
502, 498, 5.363482, 5.800187
512, 488, 5.198199, 6.285532
518, 482, 5.022879, 6.382400
520, 480, 4.836741, 5.637210
526, 474, 4.646440, 5.890126
531, 469, 4.428038, 4.701017
537, 463, 4.200220, 4.613222
542, 458, 3.965441, 4.257863
545, 455, 3.703728, 2.875676
550, 450, 3.459119, 3.776425
553, 447, 3.200661, 2.944080
557, 443, 2.940490, 2.755755
559, 441, 2.680484, 2.406335
559, 441, 2.420392, 1.835226
562, 438, 2.161777, 1.658471
563, 437, 1.913267, 1.754336
564, 436, 1.662359, 1.028556
563, 437, 1.428586, 1.303896
564, 436, 1.195659, 0.835161
564, 436, 0.963954, 0.317922
564, 436, 0.735689, -0.035709
563, 437, 0.533466, 0.610445
563, 437, 0.323815, -0.156197
562, 438, 0.124408, -0.355355
561, 439, -0.055878, 0.014797
559, 441, -0.237238, -0.765757
558, 442, -0.409563, -0.775256
555, 445, -0.583831, -1.707452
554, 446, -0.751189, -2.022462
552, 448, -0.889057, -1.146477
550, 450, -1.041308, -2.590592
548, 452, -1.168537, -1.955184
544, 456, -1.294111, -2.594215
544, 456, -1.411570, -2.738573
542, 458, -1.509127, -2.353154
536, 464, -1.597804, -2.762247
536, 464, -1.678063, -2.563937
534, 466, -1.746864, -2.561012
531, 469, -1.801743, -2.565394
528, 472, -1.850411, -2.681971
527, 473, -1.884757, -2.255686
525, 475, -1.913778, -2.378956
521, 479, -1.923988, -2.028618
521, 479, -1.933276, -2.054876
517, 483, -1.931389, -2.243057
515, 485, -1.927548, -2.348129
515, 485, -1.919147, -2.213759
509, 491, -1.896610, -2.183196
507, 493, -1.868124, -2.200958
505, 495, -1.842911, -2.540296
502, 498, -1.808727, -2.490943
500, 500, -1.769492, -2.400722
498, 502, -1.707901, -1.510940
497, 503, -1.664146, -2.375858
496, 504, -1.608577, -1.858732
494, 506, -1.543862, -1.557563
492, 508, -1.479625, -1.641967
492, 508, -1.405201, -1.085713
491, 509, -1.338394, -1.339118
490, 510, -1.272727, -1.301827
491, 509, -1.202811, -0.927466
490, 510, -1.125025, -0.421940
490, 510, -1.049314, -0.265141
491, 509, -0.980222, -0.356769
491, 509, -0.903323, 0.108788
492, 508, -0.841001, -0.139478
491, 509, -0.780176, -0.162925
492, 508, -0.716167, 0.135601
491, 509, -0.671982, -0.746892
494, 506, -0.627496, -0.277774
493, 507, -0.576161, 0.099712
494, 506, -0.539148, -0.465780
495, 505, -0.510277, -0.694524
494, 506, -0.476251, -0.317520
494, 506, -0.440484, -0.249830
495, 505, -0.416618, -0.569131
495, 505, -0.393558, -0.558930
496, 504, -0.365043, -0.079492
497, 503, -0.345022, -0.269857
497, 503, -0.323542, -0.237019
499, 501, -0.302051, 0.087704
499, 501, -0.285561, 0.054929
500, 500, -0.262874, 0.479211
502, 498, -0.254010, 0.113664
502, 498, -0.244075, 0.238392
502, 498, -0.230763, 0.452745
502, 498, -0.225927, 0.086691
504, 496, -0.221434, 0.412222
504, 496, -0.221415, 0.211026
504, 496, -0.217046, 0.366265
506, 494, -0.220931, 0.260216
506, 494, -0.228984, -0.023192
507, 493, -0.237515, 0.122617
507, 493, -0.250816, -0.059848
508, 492, -0.275806, -0.544260
509, 491, -0.298629, -0.353815
510, 490, -0.323452, -0.423731
511, 489, -0.350051, -0.420979
509, 491, -0.370259, -0.377653
511, 489, -0.394162, -0.368920
512, 488, -0.414585, -0.139614
512, 488, -0.438526, -0.406436
513, 487, -0.462067, -0.233322
512, 488, -0.491307, -0.667287
512, 488, -0.512944, -0.436649
511, 489, -0.530878, -0.487695
512, 488, -0.562891, -1.036051
511, 489, -0.581310, -0.507201
511, 489, -0.603080, -0.864587
512, 488, -0.623317, -0.712058
511, 489, -0.631847, -0.316303
510, 490, -0.639334, -0.290317
510, 490, -0.658689, -0.980189
511, 489, -0.674687, -0.689245
511, 489, -0.681894, -0.292833
510, 490, -0.696405, -0.815994
511, 489, -0.713279, -0.913241
511, 489, -0.731070, -0.886950
510, 490, -0.742077, -0.734624
510, 490, -0.758676, -1.032662
511, 489, -0.767821, -0.553578
511, 489, -0.782961, -0.861978
510, 490, -0.799084, -1.051137
512, 488, -0.815011, -0.977508
510, 490, -0.820321, -0.658130
511, 489, -0.829580, -0.754015
510, 490, -0.840403, -0.983858
510, 490, -0.846017, -0.778760
510, 490, -0.852560, -0.875523
509, 491, -0.859985, -0.997167
508, 492, -0.861875, -0.967669
507, 493, -0.863706, -1.162131
506, 494, -0.855320, -0.768536
506, 494, -0.850254, -1.014954
506, 494, -0.843773, -0.939412
505, 495, -0.839649, -1.130228
505, 495, -0.829989, -0.929310
504, 496, -0.813451, -0.709362
504, 496, -0.808322, -1.236507
505, 495, -0.801274, -1.028916
503, 497, -0.782414, -0.529651
503, 497, -0.775300, -1.098038
503, 497, -0.766835, -0.987955
503, 497, -0.752831, -0.728888
503, 497, -0.744184, -0.920769
502, 498, -0.728227, -0.780414
503, 497, -0.719285, -0.935728
503, 497, -0.702642, -0.585020
503, 497, -0.689491, -0.627392
503, 497, -0.667254, -0.115436
503, 497, -0.651886, -0.392428
502, 498, -0.631918, -0.270754
504, 496, -0.616987, -0.317648
503, 497, -0.594432, 0.177326
504, 496, -0.582818, -0.266933
503, 497, -0.575318, -0.558462
504, 496, -0.562447, -0.113793
505, 495, -0.555645, -0.342140
505, 495, -0.557383, -0.709147
505, 495, -0.562988, -0.770838
505, 495, -0.565658, -0.718711
505, 495, -0.562857, -0.323222
505, 495, -0.568651, -0.901374
504, 496, -0.572277, -0.958838
504, 496, -0.566479, -0.476592
504, 496, -0.565749, -0.694398
503, 497, -0.563454, -0.748846
505, 495, -0.562936, -0.648618
505, 495, -0.560077, -0.525856
505, 495, -0.551657, -0.144051
505, 495, -0.541236, -0.046387
506, 494, -0.538561, -0.152684
506, 494, -0.531237, 0.068185
508, 492, -0.527216, 0.246891
508, 492, -0.537609, -0.329349
509, 491, -0.546388, -0.174576
509, 491, -0.556508, -0.280670
511, 489, -0.581808, -0.731067
510, 490, -0.606693, -0.941978
511, 489, -0.626577, -0.740265
509, 491, -0.644529, -0.998844
509, 491, -0.661333, -0.995246
509, 491, -0.676095, -0.935965
508, 492, -0.688503, -0.983315
507, 493, -0.700893, -1.276919
507, 493, -0.705164, -0.838758
507, 493, -0.705356, -0.818544
507, 493, -0.708154, -0.913451
507, 493, -0.700468, -0.308279
505, 495, -0.682004, 0.013927
505, 495, -0.679835, -0.751621
505, 495, -0.665198, -0.200973
506, 494, -0.656734, -0.288175
507, 493, -0.654831, -0.340106
508, 492, -0.658424, -0.478215
507, 493, -0.656729, -0.237705
508, 492, -0.660043, -0.352544
510, 490, -0.671879, -0.544053
509, 491, -0.683917, -0.638373
508, 492, -0.697965, -0.947261
510, 490, -0.712231, -0.837357
511, 489, -0.736947, -1.167825
511, 489, -0.760282, -1.067917
511, 489, -0.784200, -1.258177
510, 490, -0.798120, -0.958340
509, 491, -0.817659, -1.480567
510, 490, -0.822431, -0.627505
508, 492, -0.817628, -0.505752
508, 492, -0.821409, -0.908503
508, 492, -0.818437, -0.554039
507, 493, -0.807450, -0.552541
507, 493, -0.799756, -0.581351
507, 493, -0.798125, -0.682572
508, 492, -0.800458, -0.930132
507, 493, -0.789918, -0.288734
507, 493, -0.778135, -0.216153
507, 493, -0.781105, -0.900734
508, 492, -0.787622, -0.834399
509, 491, -0.792899, -0.643903
509, 491, -0.801846, -1.020009
509, 491, -0.807917, -0.842877
509, 491, -0.815734, -0.946144
509, 491, -0.824591, -1.012810
510, 490, -0.836926, -1.062864
509, 491, -0.844523, -0.869988
509, 491, -0.853427, -1.058503
508, 492, -0.854201, -0.732896
509, 491, -0.859168, -0.808930
509, 491, -0.860579, -0.719262
509, 491, -0.855868, -0.351648
508, 492, -0.849365, -0.504855
508, 492, -0.849024, -0.878698
508, 492, -0.841502, -0.488265
508, 492, -0.841910, -0.990758
508, 492, -0.847938, -1.189598
507, 493, -0.844372, -0.942661
508, 492, -0.851326, -1.042489
507, 493, -0.853733, -1.141558
508, 492, -0.853784, -0.943815
508, 492, -0.848398, -0.703994
507, 493, -0.842399, -0.828370
508, 492, -0.845020, -0.917394
508, 492, -0.848137, -1.016046
509, 491, -0.845960, -0.570055
508, 492, -0.842946, -0.772430
508, 492, -0.841873, -0.784051
508, 492, -0.839625, -0.651907
508, 492, -0.828917, -0.340250
508, 492, -0.827149, -0.601467
508, 492, -0.825693, -0.810888
508, 492, -0.827184, -0.781688
508, 492, -0.828895, -0.855998
508, 492, -0.834219, -0.966313
508, 492, -0.847623, -1.385758
508, 492, -0.857383, -1.309792
508, 492, -0.857873, -0.948689
507, 493, -0.864926, -1.421543
506, 494, -0.866023, -1.336824
506, 494, -0.859847, -0.922748
504, 496, -0.851188, -1.117684
505, 495, -0.843166, -0.979555
504, 496, -0.824408, -0.629682
506, 494, -0.803281, -0.246896
504, 496, -0.780479, -0.170111
506, 494, -0.764379, -0.289999
506, 494, -0.751183, -0.315798
494, 506, -0.753518, -3.081609
492, 508, -0.814713, -6.640670
481, 519, -0.818667, -5.613200
463, 537, -0.743348, -4.521372
454, 546, -0.612324, -3.068676
445, 555, -0.402049, -0.071419
438, 562, -0.165133, 0.729715
439, 561, 0.121436, 4.000392
440, 560, 0.386233, 3.591045
439, 561, 0.642789, 3.805146
439, 561, 0.860351, 2.505895
437, 563, 1.063780, 2.174849
433, 567, 1.244143, 0.673536
426, 574, 1.406597, -0.800339
421, 579, 1.569317, -1.337007
415, 585, 1.771157, 0.143747
413, 587, 1.987658, 0.984286
413, 587, 2.192957, 1.242746
411, 589, 2.411290, 2.244751
409, 591, 2.604916, 1.062089
402, 598, 2.783457, -0.456940
395, 605, 2.989614, 0.205335
384, 616, 3.221691, 0.277776
377, 623, 3.529735, 3.645350
368, 632, 3.848683, 3.454318
363, 637, 4.201626, 5.443512
360, 640, 4.557572, 5.817247
356, 644, 4.958031, 8.403369
353, 647, 5.335255, 7.815693
350, 650, 5.703831, 7.604736
350, 650, 6.049527, 7.598917
347, 653, 6.385900, 7.635681
345, 655, 6.714076, 7.435969
345, 655, 7.028938, 8.043649
342, 658, 7.333174, 7.848196
340, 660, 7.582243, 5.426642
342, 658, 7.803619, 5.054490
338, 662, 8.068317, 7.159400
336, 664, 8.357038, 8.715607
338, 662, 8.638426, 9.499237
340, 660, 8.899318, 9.444363
342, 658, 9.116208, 8.416565
347, 653, 9.334774, 9.796699
341, 659, 9.571849, 10.286935
341, 659, 9.822556, 11.677199
351, 649, 10.009765, 10.811760
353, 647, 10.187817, 11.088651
348, 652, 10.382558, 11.586128
349, 651, 10.586858, 12.668170
353, 647, 10.747566, 11.682051
351, 649, 10.935008, 11.126095
350, 650, 11.099487, 12.064796
351, 649, 11.230610, 11.045712
352, 648, 11.360497, 11.581449
349, 651, 11.520764, 11.922396
346, 654, 11.635094, 10.886616
344, 656, 11.746143, 10.958768
342, 658, 11.857069, 10.915921
338, 662, 11.990285, 11.571879
332, 668, 12.108090, 10.340294
324, 676, 12.279339, 11.854015
316, 684, 12.463710, 11.853998
308, 692, 12.670247, 12.048399
307, 693, 12.856652, 11.396485
307, 693, 13.061769, 12.938592
307, 693, 13.296350, 14.208949
302, 698, 13.515373, 14.058475
301, 699, 13.716404, 13.403636
296, 704, 13.905275, 12.729085
298, 702, 14.097338, 13.510427
297, 703, 14.293859, 14.037609
296, 704, 14.486187, 14.243323
296, 704, 14.677351, 14.713534
296, 704, 14.867503, 15.085090
293, 707, 15.048590, 14.760859
292, 708, 15.226413, 14.866347
292, 708, 15.396763, 14.835461
288, 712, 15.580271, 15.363542
283, 717, 15.777162, 15.779026
281, 719, 15.992921, 16.890244
